Ret. time (min) ,RI              ,LALS            ,RALS            ,DP              ,IP              
        0.000000,       -1.379110,      464.851685,      248.536697,      -67.353302,       31.996769
        0.003333,       -1.379492,      464.850586,      248.536789,      -67.405411,       31.996288
        0.006667,       -1.386673,      464.849579,      248.536896,      -67.455070,       31.994629
        0.010000,       -1.394955,      464.848785,      248.536987,      -67.463905,       31.992579
        0.013333,       -1.399736,      464.848175,      248.537094,      -67.438797,       31.991190
        0.016667,       -1.399217,      464.847778,      248.536987,      -67.414658,       31.990919
        0.020000,       -1.402099,      464.847595,      248.536896,      -67.502190,       31.990278
        0.023333,       -1.436780,      464.847473,      248.536789,      -67.869438,       31.982859
        0.026667,       -1.517562,      464.847473,      248.536499,      -68.255966,       31.965130
        0.030000,       -1.637543,      464.847473,      248.536301,      -68.559967,       31.939259
        0.033333,       -1.782524,      464.847687,      248.536301,      -68.794601,       31.907709
        0.036667,       -1.943906,      464.847992,      248.536194,      -69.020378,       31.871889
        0.040000,       -2.118587,      464.848389,      248.536087,      -69.248611,       31.831770
        0.043333,       -2.304869,      464.848694,      248.535995,      -69.454315,       31.787510
        0.046667,       -2.494150,      464.849091,      248.535889,      -69.594215,       31.740648
        0.050000,       -2.675831,      464.849701,      248.535797,      -69.650620,       31.693459
        0.053333,       -2.841313,      464.850281,      248.535690,      -69.622337,       31.648129
        0.056667,       -2.983994,      464.851074,      248.535690,      -69.578445,       31.605968
        0.060000,       -3.103876,      464.851898,      248.535690,      -69.521179,       31.566929
        0.063333,       -3.200957,      464.852692,      248.535797,      -69.435692,       31.531429
        0.066667,       -3.272238,      464.853790,      248.536591,      -69.273567,       31.500999
        0.070000,       -3.308520,      464.854889,      248.537888,      -69.034676,       31.477530
        0.073333,       -3.304801,      464.856079,      248.539597,      -68.739792,       31.462420
        0.076667,       -3.261282,      464.856995,      248.541687,      -68.465179,       31.455648
        0.080000,       -3.188064,      464.857483,      248.543488,      -68.221481,       31.455938
        0.083333,       -3.091945,      464.857391,      248.545090,      -67.981850,       31.462460
        0.086667,       -2.970927,      464.856903,      248.546494,      -67.661652,       31.475899
        0.090000,       -2.810207,      464.856079,      248.547791,      -67.219055,       31.499828
        0.093333,       -2.620089,      464.855103,      248.548889,      -66.948006,       31.532228
        0.096667,       -2.427071,      464.853973,      248.549698,      -66.861076,       31.567200
        0.100000,       -2.253253,      464.852875,      248.550095,      -66.895195,       31.600559
        0.103333,       -2.106934,      464.851898,      248.550400,      -66.955330,       31.630749
        0.106667,       -1.986515,      464.850677,      248.550400,      -67.001305,       31.658089
