Ret. time (min) ,RI              ,LALS            ,RALS            ,DP              ,IP              
        0.000000,        0.072947,      464.956879,      248.520889,      -69.171906,       32.007908
        0.003333,        0.073696,      464.959290,      248.523697,      -69.197617,       32.007778
        0.006667,        0.068744,      464.962097,      248.526001,      -69.216911,       32.006630
        0.010000,        0.062694,      464.965790,      248.528290,      -69.192657,       32.005329
        0.013333,        0.060443,      464.970581,      248.530487,      -69.137375,       32.004948
        0.016667,        0.063891,      464.975800,      248.532501,      -69.099831,       32.005711
        0.020000,        0.061942,      464.980896,      248.534286,      -69.212608,       32.005581
        0.023333,        0.026190,      464.985596,      248.535797,      -69.569527,       31.997910
        0.026667,       -0.055660,      464.989990,      248.536896,      -69.915520,       31.980370
        0.030000,       -0.173811,      464.994080,      248.537598,      -70.199966,       31.955309
        0.033333,       -0.315662,      464.997986,      248.537994,      -70.433784,       31.924940
        0.036667,       -0.471613,      465.001190,      248.537888,      -70.665459,       31.890400
        0.040000,       -0.640463,      465.003784,      248.537598,      -70.910645,       31.851519
        0.043333,       -0.820515,      465.005676,      248.536789,      -71.138000,       31.808578
        0.046667,       -1.002665,      465.006897,      248.535797,      -71.285675,       31.763159
        0.050000,       -1.177617,      465.007385,      248.534592,      -71.354591,       31.717579
        0.053333,       -1.335668,      465.006989,      248.533188,      -71.346802,       31.673979
        0.056667,       -1.470718,      465.005585,      248.531296,      -71.317368,       31.633419
        0.060000,       -1.585569,      465.002991,      248.528992,      -71.279930,       31.595869
        0.063333,       -1.679020,      465.000183,      248.527298,      -71.202805,       31.561880
        0.066667,       -1.745371,      464.997101,      248.526001,      -71.049767,       31.532999
        0.070000,       -1.778122,      464.993896,      248.525391,      -70.816681,       31.511049
        0.073333,       -1.771172,      464.990479,      248.525696,      -70.542068,       31.497330
        0.076667,       -1.727624,      464.986694,      248.525894,      -70.281799,       31.491529
        0.080000,       -1.656274,      464.983002,      248.526093,      -70.052971,       31.492369
        0.083333,       -1.562926,      464.979797,      248.526093,      -69.815346,       31.499180
        0.086667,       -1.443376,      464.977692,      248.526093,      -69.470688,       31.513020
        0.090000,       -1.285226,      464.976288,      248.526001,      -69.049957,       31.537319
        0.093333,       -1.100578,      464.975281,      248.526093,      -68.808945,       31.569099
        0.096667,       -0.916828,      464.974487,      248.526093,      -68.746758,       31.602610
        0.100000,       -0.754080,      464.974091,      248.526199,      -68.774246,       31.634119
        0.103333,       -0.618830,      464.974396,      248.526199,      -68.822258,       31.662470
        0.106667,       -0.507582,      464.975098,      248.526093,      -68.848427,       31.688129
        0.110000,       -0.413832,      464.976990,      248.526794,      -68.847565,       31.712219
        0.113333,       -0.332383,      464.980774,      248.528793,      -68.838264,       31.735300
        0.116667,       -0.262034,      464.985199,      248.531387,      -68.863586,       31.756659
        0.120000,       -0.207086,      464.990784,      248.534698,      -68.917038,       31.775339
        0.123333,       -0.167535,      464.996277,      248.537888,      -68.937347,       31.791609
        0.126667,       -0.134786,      465.000793,      248.540298,      -68.924469,       31.806549
        0.130000,       -0.104137,      465.004791,      248.542496,      -68.878441,       31.821249
        0.133333,       -0.072588,      465.008789,      248.544495,      -68.853287,       31.836069
        0.136667,       -0.045038,      465.012695,      248.546188,      -68.875847,       31.849930
        0.140000,       -0.026190,      465.016296,      248.547592,      -68.911018,       31.862000
        0.143333,       -0.014540,      465.019287,      248.548492,      -68.928337,       31.872599
        0.146667,       -0.004792,      465.021484,      248.549500,      -68.907906,       31.882719
        0.150000,        0.008258,      465.023499,      248.550888,      -68.868355,       31.893309
        0.153333,        0.023307,      465.025482,      248.552292,      -68.865486,       31.904179
        0.156667,        0.035456,      465.027191,      248.553497,      -68.910530,       31.914019
        0.160000,        0.039004,      465.028687,      248.554489,      -68.963310,       31.922029
        0.163333,        0.036453,      465.029480,      248.554489,      -68.999207,       31.928619
