Ret. time (min) ,RI              ,LALS            ,RALS            ,DP              ,IP              
        0.000000,       -1.151289,      464.903503,      248.584091,      -68.958435,       31.997438
        0.003333,       -1.146266,      464.901489,      248.582489,      -68.982368,       31.997869
        0.006667,       -1.147542,      464.899689,      248.580597,      -69.000160,       31.997299
        0.010000,       -1.150320,      464.898102,      248.578598,      -68.980476,       31.996510
        0.013333,       -1.149497,      464.896698,      248.576691,      -68.938271,       31.996609
        0.016667,       -1.142774,      464.895599,      248.575500,      -68.902451,       31.997969
        0.020000,       -1.135149,      464.895081,      248.575195,      -68.925407,       31.999578
        0.023333,       -1.137625,      464.895081,      248.575989,      -69.091949,       31.998989
        0.026667,       -1.178703,      464.895477,      248.577393,      -69.466331,       31.990410
        0.030000,       -1.262379,      464.896576,      248.579086,      -69.799644,       31.972849
        0.033333,       -1.375756,      464.897888,      248.580597,      -70.073578,       31.948679
        0.036667,       -1.510633,      464.899597,      248.582092,      -70.330917,       31.919340
        0.040000,       -1.665711,      464.901581,      248.583694,      -70.610886,       31.884779
        0.043333,       -1.838387,      464.903687,      248.585098,      -70.872360,       31.845089
        0.046667,       -2.020763,      464.905884,      248.586288,      -71.074791,       31.801670
        0.050000,       -2.203039,      464.907898,      248.587387,      -71.195877,       31.756710
        0.053333,       -2.373317,      464.910095,      248.588196,      -71.245270,       31.712399
        0.056667,       -2.526693,      464.912384,      248.588989,      -71.263969,       31.670040
        0.060000,       -2.663269,      464.914703,      248.589493,      -71.275101,       31.629610
        0.063333,       -2.779946,      464.916687,      248.589691,      -71.245079,       31.591549
        0.066667,       -2.873724,      464.918274,      248.589493,      -71.143532,       31.557428
        0.070000,       -2.934700,      464.919281,      248.589096,      -70.952347,       31.529200
        0.073333,       -2.958776,      464.919586,      248.588287,      -70.708008,       31.508499
        0.076667,       -2.946853,      464.919403,      248.587296,      -70.473557,       31.495520
        0.080000,       -2.903929,      464.918701,      248.586197,      -70.256691,       31.489248
        0.083333,       -2.835505,      464.917694,      248.584991,      -70.030106,       31.489180
        0.086667,       -2.742483,      464.916290,      248.583588,      -69.776306,       31.495659
        0.090000,       -2.616660,      464.914886,      248.582397,      -69.397301,       31.510349
        0.093333,       -2.446836,      464.913300,      248.581390,      -68.986542,       31.536139
        0.096667,       -2.257313,      464.911377,      248.580490,      -68.806007,       31.568310
        0.100000,       -2.076991,      464.909485,      248.580093,      -68.777481,       31.600870
        0.103333,       -1.917966,      464.907074,      248.579590,      -68.808311,       31.631159
        0.106667,       -1.782944,      464.904694,      248.579193,      -68.832489,       31.658998
        0.110000,       -1.666420,      464.902374,      248.578796,      -68.827492,       31.685179
        0.113333,       -1.562797,      464.900177,      248.578400,      -68.820190,       31.710279
        0.116667,       -1.474073,      464.898499,      248.577988,      -68.857491,       31.733669
        0.120000,       -1.403649,      464.896881,      248.577591,      -68.916016,       31.754389
        0.123333,       -1.349527,      464.895386,      248.577087,      -68.959259,       31.772509
        0.126667,       -1.305704,      464.894379,      248.576691,      -68.952202,       31.789040
        0.130000,       -1.265280,      464.893799,      248.576401,      -68.908150,       31.805180
        0.133333,       -1.224058,      464.893799,      248.576096,      -68.873650,       31.821360
        0.136667,       -1.187733,      464.894073,      248.575897,      -68.888931,       31.836569
        0.140000,       -1.159110,      464.894501,      248.575699,      -68.916916,       31.849850
        0.143333,       -1.139087,      464.894897,      248.575500,      -68.929581,       31.861399
        0.146667,       -1.122664,      464.895203,      248.575195,      -68.919540,       31.872169
        0.150000,       -1.104041,      464.895294,      248.574890,      -68.874657,       31.883200
        0.153333,       -1.083516,      464.895081,      248.574600,      -68.848038,       31.894579
        0.156667,       -1.065094,      464.894684,      248.574295,      -68.871666,       31.905069
        0.160000,       -1.054370,      464.894501,      248.574188,      -68.924507,       31.913729
        0.163333,       -1.050046,      464.894287,      248.573990,      -68.955788,       31.920799
        0.166667,       -1.048224,      464.894196,      248.573898,      -68.949677,       31.927238
        0.170000,       -1.045001,      464.893982,      248.573700,      -68.921936,       31.933960
        0.173333,       -1.039176,      464.893494,      248.573486,      -68.916847,       31.940750
        0.176667,       -1.036453,      464.892578,      248.573288,      -68.960358,       31.946449
        0.180000,       -1.039531,      464.891479,      248.572998,      -69.002922,       31.950480
        0.183333,       -1.046507,      464.890076,      248.572800,      -69.008209,       31.953400
        0.186667,       -1.050883,      464.888885,      248.572601,      -68.978004,       31.956299
        0.190000,       -1.048760,      464.887695,      248.572495,      -68.931190,       31.959990
        0.193333,       -1.044037,      464.886383,      248.572296,      -68.921738,       31.964069
        0.196667,       -1.041813,      464.885193,      248.572098,      -68.950867,       31.967249
        0.200000,       -1.043790,      464.884094,      248.571899,      -68.969841,       31.969149
        0.203333,       -1.048866,      464.883087,      248.571487,      -68.957657,       31.970490
        0.206667,       -1.051043,      464.882202,      248.571091,      -68.917320,       31.972229
        0.210000,       -1.047521,      464.881287,      248.570496,      -68.864235,       31.974970
        0.213333,       -1.041496,      464.880280,      248.569901,      -68.848808,       31.977970
        0.216667,       -1.039072,      464.879303,      248.569290,      -68.886665,       31.979969
        0.220000,       -1.041650,      464.878296,      248.568695,      -68.928757,       31.980759
        0.223333,       -1.047827,      464.877380,      248.568192,      -68.936150,       31.981070
        0.226667,       -1.051003,      464.876801,      248.567795,      -68.906349,       31.981958
        0.230000,       -1.048881,      464.876190,      248.567398,      -68.883675,       31.983829
        0.233333,       -1.047056,      464.875885,      248.567093,      -68.915161,       31.985699
        0.236667,       -1.049532,      464.875793,      248.566895,      -68.980789,       31.986479
        0.240000,       -1.057210,      464.875885,      248.566788,      -69.033279,       31.986118
        0.243333,       -1.066788,      464.876678,      248.567291,      -69.047249,       31.985489
        0.246667,       -1.071864,      464.877777,      248.568390,      -69.030586,       31.985569
        0.250000,       -1.070340,      464.879303,      248.569794,      -69.032898,       31.986609
        0.253333,       -1.070417,      464.880981,      248.571594,      -69.075478,       31.987450
        0.256667,       -1.075194,      464.882385,      248.573196,      -69.138016,       31.987160
        0.260000,       -1.082370,      464.883881,      248.574692,      -69.176338,       31.985979
        0.263333,       -1.089346,      464.885284,      248.576096,      -69.178467,       31.984879
        0.266667,       -1.091124,      464.886597,      248.577393,      -69.153076,       31.984739
        0.270000,       -1.087100,      464.887787,      248.578598,      -69.160225,       31.985498
        0.273333,       -1.083477,      464.888885,      248.579498,      -69.185501,       31.985929
        0.276667,       -1.084454,      464.889984,      248.580292,      -69.221809,       31.985319
        0.280000,       -1.089630,      464.891174,      248.580795,      -69.222305,       31.984110
        0.283333,       -1.092907,      464.892395,      248.581100,      -69.177849,       31.983290
        0.286667,       -1.089984,      464.893402,      248.581192,      -69.104469,       31.983688
        0.290000,       -1.082160,      464.893890,      248.580887,      -69.079407,       31.984970
        0.293333,       -1.076037,      464.894196,      248.580200,      -69.094017,       31.985800
        0.296667,       -1.073813,      464.894501,      248.579391,      -69.120056,       31.985699
        0.300000,       -1.073791,      464.895081,      248.578400,      -69.107262,       31.985189
        0.303333,       -1.071266,      464.896179,      248.577393,      -69.058029,       31.985289
        0.306667,       -1.063243,      464.897278,      248.576187,      -69.002777,       31.986660
        0.310000,       -1.051420,      464.898193,      248.574600,      -68.988930,       31.988640
        0.313333,       -1.043097,      464.899200,      248.573090,      -69.017868,       31.989948
        0.316667,       -1.039973,      464.899780,      248.571793,      -69.042274,       31.990259
        0.320000,       -1.038150,      464.900696,      248.570892,      -69.040649,       31.990278
        0.323333,       -1.034327,      464.901703,      248.570496,      -68.991737,       31.990919
        0.326667,       -1.026204,      464.902283,      248.570099,      -68.952660,       31.992710
